Cart #,Title,Artist(s),Category
157299,Too Sweet,Hozier,GOLD 17-22
157337,Stargazing,Myles Smith,GOLD 17-22
154544,Symphony,Clean Bandit/Zara Larsson,GOLD 17-22
154964,All The Stars,Kendrick Lamar/SZA,GOLD 17-22
155544,Goodbyes,Post Malone,GOLD 17-22
156421,Bad Habits,Ed Sheeran,GOLD 17-22
154590,Malibu,Miley Cyrus,GOLD 17-22
155221,Sunflower,Post Malone/Swae Lee,GOLD 17-22
156523,That's What I Want,Lil Nas X,GOLD 17-22
155047,Youngblood,5 Seconds Of Summer,GOLD 17-22
156437,Stay,Justin Bieber/The Kid Laroi,GOLD 17-22
157288,The Door,Teddy Swims,GOLD 17-22
154905,Closer,Six60,GOLD 17-22
154466,Shape Of You,Ed Sheeran,GOLD 17-22
156289,Heat Waves,Glass Animals,GOLD 17-22
155882,Blinding Lights,The Weeknd,GOLD 17-22
154692,Silence,Khalid/Marshmello,GOLD 17-22
155320,3 Nights,Dominic Fike,GOLD 17-22
154841,"Young, Dumb and Broke",Khalid,GOLD 17-22
156933,Escapism,RAYE,GOLD 17-22
156661,Here For You,Wilkinson/Becky Hill,GOLD 17-22
154910,Woke Up Late,Drax Project,GOLD 17-22
155444,I Don't Care,Ed Sheeran/Justin Bieber,GOLD 17-22
157578,Blink Twice,Myles Smith/Shaboozey,GOLD 17-22
155916,Physical,Dua Lipa,GOLD 17-22
156700,As It Was,Harry Styles,GOLD 17-22
156378,good 4 u,Olivia Rodrigo,GOLD 17-22
153738,Wildest Dreams,Taylor Swift,GOLD 12-17
152894,Talk Dirty,Jason Derulo/2 Chains,GOLD 12-17
152753,Classic,MKTO,GOLD 12-17
153914,All My Friends,Snakehips/Tinashe,GOLD 12-17
154186,Into You,Ariana Grande,GOLD 12-17
153318,Nobody To Love,Sigma,GOLD 12-17
152532,Still Into You,Paramore,GOLD 12-17
153427,Jealous,Nick Jonas,GOLD 12-17
153588,See You Again,Wiz Khalifa/Charlie Puth,GOLD 12-17
152282,Don't You Worry Child,Swedish House Mafia,GOLD 12-17
153543,One Last Time,Ariana Grande,GOLD 12-17
152165,Feel The Love,Rudimental/John Newman,GOLD 12-17
153499,The Nights,Avicii,GOLD 12-17
153513,Love Me Like You Do,Ellie Goulding,GOLD 12-17
152922,Wrecking Ball,Miley Cyrus,GOLD 12-17
153721,How Deep Is Your Love,Calvin Harris/Disciples,GOLD 12-17
153837,Never Forget You,Zara Larsson/MNEK,GOLD 12-17
